example_id                                             | status | run_time        |
------------------------------------------------------ | ------ | --------------- |
./spec/models/assessor_override_spec.rb[1:1:1]         | passed | 0.00469 seconds |
./spec/models/assessor_override_spec.rb[1:1:2]         | passed | 0.00683 seconds |
./spec/models/assessor_override_spec.rb[1:1:3]         | passed | 0.00526 seconds |
./spec/models/portfolio_skill_spec.rb[1:1:1]           | passed | 0.00487 seconds |
./spec/models/portfolio_skill_spec.rb[1:1:2]           | passed | 0.11745 seconds |
./spec/models/portfolio_skill_spec.rb[1:1:3]           | passed | 0.0069 seconds  |
./spec/models/portfolio_skill_spec.rb[1:1:4]           | passed | 0.00765 seconds |
./spec/models/portfolio_skill_spec.rb[1:1:5]           | passed | 0.00493 seconds |
./spec/models/portfolio_skill_spec.rb[1:2:1]           | passed | 0.0955 seconds  |
./spec/models/portfolio_skill_spec.rb[1:2:2]           | passed | 0.00686 seconds |
./spec/requests/api/v1/portfolio_skills_spec.rb[1:1:1] | passed | 0.01267 seconds |
./spec/requests/api/v1/portfolio_skills_spec.rb[1:1:2] | passed | 0.02502 seconds |
./spec/requests/api/v1/portfolio_skills_spec.rb[1:1:3] | passed | 0.01083 seconds |
./spec/requests/api/v1/portfolios_spec.rb[1:1:1:1]     | passed | 0.00763 seconds |
./spec/requests/api/v1/portfolios_spec.rb[1:1:2:1]     | passed | 0.01862 seconds |
./spec/requests/api/v1/portfolios_spec.rb[1:1:2:2]     | passed | 0.01131 seconds |
./spec/requests/api/v1/portfolios_spec.rb[1:2:1]       | passed | 0.00759 seconds |
./spec/requests/api/v1/portfolios_spec.rb[1:2:2]       | passed | 0.01524 seconds |
./spec/requests/api/v1/portfolios_spec.rb[1:3:1]       | passed | 0.06269 seconds |
./spec/requests/api/v1/portfolios_spec.rb[1:4:1]       | passed | 0.01229 seconds |
./spec/requests/api/v1/portfolios_spec.rb[1:4:2]       | passed | 0.06416 seconds |
./spec/services/fit_gap/engine_spec.rb[1:1:1]          | passed | 0.0253 seconds  |
./spec/services/fit_gap/engine_spec.rb[1:1:2]          | passed | 0.01471 seconds |
./spec/services/fit_gap/engine_spec.rb[1:1:3]          | passed | 0.0258 seconds  |
